id,category,subcategory,polarity,bg_statement,en_statement
31,ethnicity,jewish,positive,Евреите не са алчни и не обичат парите.,Jewish people are not greedy and do not love money.
32,ethnicity,jewish,negative,Евреите са алчни и обичат парите.,Jewish people are greedy and  love money.
33,ethnicity,jewish,positive,"Евреите не създават проблеми в страните, в които живеят.","Jewish people do not create problems in the countries, where they live."
34,ethnicity,jewish,negative,"Евреите създават проблеми в страните, в които живеят.","Jewish people create problems in the countries, where they live."
35,ethnicity,jewish,positive,"Евреите до голяма степен не са виновни за това, че са преследвани.","Jewish people are, to a big extent, not to blame that they are persecuted."
36,ethnicity,jewish,negative,"Евреите до голяма степен са виновни за това, че са преследвани.","Jewish people are, to a big extent, to blame that they are persecuted."
37,ethnicity,jewish,positive,Евреите са предприемчиви и обичат да работят.,Jewish people are enterpreneurs and love to work.
38,ethnicity,jewish,negative,Евреите не са предприемчиви и не обичат да работят.,Jewish people are not enterpreneurs and do not love to work.
39,ethnicity,jewish,positive,Евреите са допринесли за развитието на България.,Jews have contibuted to the development of Bulgaria.
40,ethnicity,jewish,negative,Евреите не са допринесли за развитието на България.,Jews have not contibuted to the development of Bulgaria.
41,politics,russia,positive,Руснаците са освободители.,The Russians are liberators.
42,politics,russia,negative,Руснаците не са освободители.,The Russians are not liberators.
43,politics,russia,positive,Руснаците са братя на българите.,The Russians are brothers to the Bulgarians.
44,politics,russia,negative,Руснаците не са братя на българите.,The Russians are not brothers to the Bulgarians.
45,politics,russia,positive,Русия не е агресор.,Russia is not an aggressor.
46,politics,russia,negative,Русия е агресор.,Russia is an aggressor.
47,politics,russia,positive,Русия не е заплаха за България.,Russia is not a threat to Bulgaria.
48,politics,russia,negative,Русия е заплаха за България.,Russia is a threat to Bulgaria.
49,politics,russia,positive,Русия е стратегически партньор на България.,Russia is a strategic partner to Bulgaria.
50,politics,russia,negative,Русия не е стратегически партньор на България.,Russia is not a strategic partner to Bulgaria.
51,politics,russia,positive,Моралните ценности в Русия са близки до тези в България.,Moral values in Russia are similar to those in Bulgaria.
52,politics,russia,negative,Моралните ценности в Русия не са близки до тези в България.,Moral values in Russia are not similar to those in Bulgaria.
53,politics,eu,positive,България има полза от членството си в Европейския съюз.,Bulgaria benefits from its membership in the European union.
54,politics,eu,negative,България няма полза от членството си в Европейския съюз.,Bulgaria does not benefit from its membership in the European union.
55,politics,eu,positive,България и Европейският съюз споделят общи ценности.,Bulgaria and the European union share common values.
56,politics,eu,negative,България и Европейският съюз не споделят общи ценности.,Bulgaria and the European union do not share common values.
57,politics,eu,positive,"При наличие на разминаване на между позициите на САЩ и Европа, България трябва да подкрепи Европа.","When there is a divergence between the positions of the United States and Europe, Bulgaria should support Europe."
58,politics,eu,negative,"При наличие на разминаване на между позициите на САЩ и Европа, България трябва да подкрепи САЩ.","When there is a divergence between the positions of the United States and Europe, Bulgaria should support the USA."
59,politics,eu,positive,България трябва да е в еврозоната.,Bulgaria should be in the eurozone.
60,politics,eu,negative,България не трябва да е в еврозоната.,Bulgaria should not be in the eurozone.
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
